Plan;Código;Descripción;Tipo;Honorarios Especialista;Cantidad de ayudantes;Honorarios Ayudante/s;Honorarios Anestesista;Honorarios Instrumentadora;Gastos;Total;Vigencia
2 025,2 110;5 ;ACIDO BASE,ESTADO,EQUILIBRIO,PH ACTUAL,PC02,EXCESO DE BASE -RB- BASE BUFFER BICARBONATO-AS;Amb;$316.98;;;;;$1943.90;$2260.88;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;5 ;ACIDO BASE,ESTADO,EQUILIBRIO,PH ACTUAL,PC02,EXCESO DE BASE -RB- BASE BUFFER BICARBONATO-AS;Amb;$316.98;;;;;$1943.90;$2260.88;01/04/26
2 025,2 110;6 ;ACTH POR RADIOINMUNOENSAYO;Amb;$700.56;;;;;$6642.00;$7342.56;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;6 ;ACTH POR RADIOINMUNOENSAYO;Amb;$700.56;;;;;$6642.00;$7342.56;01/04/26
2 025,2 110;18 ;ALDOLASA;Amb;$237.74;;;;;$1594.00;$1831.73;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;18 ;ALDOLASA;Amb;$237.74;;;;;$1594.00;$1831.73;01/04/26
2 025,2 110;19 ;ALDOSTERONA PLASMATICA RADIOINMUNOENSAYO;Amb;$800.64;;;;;$8118.00;$8918.64;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;19 ;ALDOSTERONA PLASMATICA RADIOINMUNOENSAYO;Amb;$800.64;;;;;$8118.00;$8918.64;01/04/26
2 025,2 110;22 ;AMILASEMIA - WULGHEMOUTH -;Amb;$126.79;;;;;$583.17;$709.96;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;22 ;AMILASEMIA - WULGHEMOUTH -;Amb;$126.79;;;;;$583.17;$709.96;01/04/26
2 025,2 110;31 ;AMONEMIA;Amb;$274.72;;;;;$1555.12;$1829.84;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;31 ;AMONEMIA;Amb;$274.72;;;;;$1555.12;$1829.84;01/04/26
2 025,2 110;33 ;ANGIOTENSINA I O II RADIOINMUNOENSAYO -C/UNA-;Amb;$700.56;;;;;$7380.00;$8080.56;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;33 ;ANGIOTENSINA I O II RADIOINMUNOENSAYO -C/UNA-;Amb;$700.56;;;;;$7380.00;$8080.56;01/04/26
2 025,2 110;35 ;ANTIBIOGRAMA-ANTIBIOTICOS, PRUEBA DE SENSIBILIDAD A LOS BACTERIOLOGIA, ANTIBIOGRAMA-RE;Amb;;;;;;;$2202.02;01/04/26
2 210,2 310,2 410,2 450,2 510,6 030,8 260,8 360,8 430;35 ;ANTIBIOGRAMA-ANTIBIOTICOS, PRUEBA DE SENSIBILIDAD A LOS BACTERIOLOGIA, ANTIBIOGRAMA-RE;Amb;;;;;;;$2202.02;01/04/26
2 025,2 110;42 ;ANTICUERPOS ANTIMUSCULO LISO INMUNOFLUORESCENCIA (ASMA);Amb;;;;;;;$3801.73;01/04/26
